id,categoria,nombre,marca,descripcion,unidad_medida,precio_unitario,tipo_suelo,resistencia_climática,facilidad_instalación,mantenimiento_requerido,compatible_calefacción_radiante,cumple_normativa_UE,precio_m2_estimado,recomendado_zonas_húmedas,moneda
149,Madera,Construmax Madera,Construmax,Construmax - Madera resistente para construcción profesional,m³,381.72,Laminado,Baja,Compleja,Medio,Sí,True,381.72,No,EUR
150,Bloques,ConstructTech Bloques,ConstructTech,ConstructTech - Bloques estructural para construcción profesional,saco,433.25,Mármol,Media,Fácil,Alto,No,True,216.62,No,EUR
151,Cemento,BuildPro Cemento,BuildPro,BuildPro - Cemento alta resistencia para construcción profesional,saco (25 kg),4.5,Mármol,Alta,Compleja,Medio,No,True,9.0,Sí,EUR
152,Grava,HomeBuilder Grava,HomeBuilder,HomeBuilder - Grava clasificada para construcción profesional,saco (25 kg),2.8,Parquet,Baja,Compleja,Bajo,No,True,5.6,Sí,EUR
153,Bloques,EliteTools Bloques,EliteTools,EliteTools - Bloques estructural para construcción profesional,kg,714.68,Vinilo,Alta,Fácil,Alto,Sí,True,14293.6,Sí,EUR
154,Ladrillos,HomeBuilder Ladrillos,HomeBuilder,HomeBuilder - Ladrillos térmico para construcción profesional,saco,784.31,Vinilo,Alta,Fácil,Medio,No,True,392.16,No,EUR
155,Madera,BuildPro Madera,BuildPro,BuildPro - Madera uso profesional para construcción profesional,unidad,905.81,Laminado,Alta,Compleja,Medio,Sí,True,905.81,No,EUR
156,Cable eléctrico,ConstructTech Cable eléctrico,ConstructTech,ConstructTech - Cable eléctrico alta calidad para construcción profesional,litro,730.67,Mármol,Media,Media,Medio,No,True,730.67,No,EUR
157,Pintura,ProConstruct Pintura,ProConstruct,ProConstruct - Pintura uso profesional para construcción profesional,m³,40.33,Piedra Natural,Media,Fácil,Bajo,No,True,40.33,No,EUR
158,Selladores,MaxiMaterials Selladores,MaxiMaterials,MaxiMaterials - Selladores alta calidad para construcción profesional,m³,951.54,Piedra Natural,Media,Fácil,Medio,Sí,True,951.54,Sí,EUR
159,Tornillos,HomeQuality Tornillos,HomeQuality,HomeQuality - Tornillos alta calidad para construcción profesional,unidad,753.51,Parquet,Media,Media,Alto,Sí,True,753.51,No,EUR
160,Cable eléctrico,EliteTools Cable eléctrico,EliteTools,EliteTools - Cable eléctrico uso profesional para construcción profesional,unidad,534.5,Vinilo,Media,Fácil,Bajo,Sí,True,534.5,No,EUR
161,Selladores,HomeBuilder Selladores,HomeBuilder,HomeBuilder - Selladores resistente para construcción profesional,saco,136.98,Laminado,Alta,Compleja,Bajo,No,True,68.49,No,EUR
162,Cable eléctrico,HomeQuality Cable eléctrico,HomeQuality,HomeQuality - Cable eléctrico uso profesional para construcción profesional,unidad,275.87,Mármol,Baja,Fácil,Bajo,Sí,True,275.87,No,EUR
163,Grava,ProConstruct Grava,ProConstruct,"ProConstruct - Grava 3/4"" para construcción profesional",saco (25 kg),2.8,Vinilo,Baja,Media,Alto,No,True,5.6,Sí,EUR
164,Arena,ProConstruct Arena,ProConstruct,ProConstruct - Arena fina para construcción profesional,saco (25 kg),2.5,Vinilo,Media,Media,Alto,Sí,True,5.0,No,EUR
165,Azulejos,BuildMaster Azulejos,BuildMaster,BuildMaster - Azulejos uso profesional para construcción profesional,rollo,288.53,Parquet,Media,Media,Medio,No,True,288.53,No,EUR
166,Pintura,BuildPro Pintura,BuildPro,BuildPro - Pintura resistente para construcción profesional,metro lineal,473.48,Cerámica,Baja,Compleja,Medio,Sí,True,473.48,No,EUR
167,Ladrillos,MaxiMaterials Ladrillos,MaxiMaterials,MaxiMaterials - Ladrillos cara vista para construcción profesional,saco,930.58,Laminado,Alta,Compleja,Alto,No,True,465.29,Sí,EUR
168,Madera,EliteTools Madera,EliteTools,EliteTools - Madera uso profesional para construcción profesional,litro,595.16,Cerámica,Media,Fácil,Medio,No,True,595.16,No,EUR
169,Cable eléctrico,ConstructTech Cable eléctrico,ConstructTech,ConstructTech - Cable eléctrico uso profesional para construcción profesional,rollo,631.46,Mármol,Media,Media,Bajo,No,True,631.46,Sí,EUR
170,Grava,ConstructTech Grava,ConstructTech,"ConstructTech - Grava 3/4"" para construcción profesional",saco (25 kg),2.8,Mármol,Alta,Compleja,Bajo,No,True,5.6,Sí,EUR
171,Tubería,ProConstruct Tubería,ProConstruct,ProConstruct - Tubería uso profesional para construcción profesional,m²,708.81,Piedra Natural,Media,Compleja,Medio,No,True,708.81,Sí,EUR
172,Clavos,Construmax Clavos,Construmax,Construmax - Clavos alta calidad para construcción profesional,unidad,26.82,Mármol,Media,Media,Medio,Sí,True,26.82,No,EUR
173,Tornillos,MaxiMaterials Tornillos,MaxiMaterials,MaxiMaterials - Tornillos resistente para construcción profesional,m³,904.37,Vinilo,Baja,Compleja,Alto,Sí,True,904.37,No,EUR
174,Ladrillos,BuildMaster Ladrillos,BuildMaster,BuildMaster - Ladrillos térmico para construcción profesional,litro,19.61,Laminado,Alta,Fácil,Medio,Sí,True,19.61,No,EUR
175,Varillas,BuildPro Varillas,BuildPro,BuildPro - Varillas durable para construcción profesional,unidad,968.07,Piedra Natural,Alta,Fácil,Bajo,Sí,True,968.07,No,EUR
176,Impermeabilizantes,ProConstruct Impermeabilizantes,ProConstruct,ProConstruct - Impermeabilizantes durable para construcción profesional,unidad,120.41,Parquet,Alta,Fácil,Bajo,No,True,120.41,Sí,EUR
177,Tubería,EliteTools Tubería,EliteTools,EliteTools - Tubería durable para construcción profesional,rollo,726.84,Vinilo,Alta,Media,Medio,Sí,True,726.84,No,EUR
178,Cemento,ConstructTech Cemento,ConstructTech,ConstructTech - Cemento alta resistencia para construcción profesional,saco (25 kg),4.5,Piedra Natural,Media,Media,Medio,No,True,9.0,No,EUR
179,Madera,MasterBuild Madera,MasterBuild,MasterBuild - Madera uso profesional para construcción profesional,saco,534.43,Vinilo,Baja,Fácil,Bajo,No,True,267.21,Sí,EUR
180,Azulejos,Construmax Azulejos,Construmax,Construmax - Azulejos uso profesional para construcción profesional,m³,995.41,Piedra Natural,Baja,Fácil,Bajo,Sí,True,995.41,Sí,EUR
181,Arena,HomeQuality Arena,HomeQuality,HomeQuality - Arena lavada para construcción profesional,saco (25 kg),2.5,Mármol,Baja,Media,Medio,No,True,5.0,Sí,EUR
182,Ladrillos,HomeBuilder Ladrillos,HomeBuilder,HomeBuilder - Ladrillos macizo para construcción profesional,metro lineal,371.91,Vinilo,Media,Fácil,Alto,No,True,371.91,Sí,EUR
183,Ladrillos,HomeBuilder Ladrillos,HomeBuilder,HomeBuilder - Ladrillos cara vista para construcción profesional,kg,260.68,Piedra Natural,Alta,Compleja,Medio,No,True,5213.6,No,EUR
184,Cemento,BuildMaster Cemento,BuildMaster,BuildMaster - Cemento para exteriores para construcción profesional,saco (25 kg),4.5,Piedra Natural,Baja,Compleja,Medio,No,True,9.0,No,EUR
185,Madera,BuildPro Madera,BuildPro,BuildPro - Madera resistente para construcción profesional,metro lineal,823.48,Vinilo,Media,Compleja,Medio,No,True,823.48,Sí,EUR
186,Ladrillos,HomeBuilder Ladrillos,HomeBuilder,HomeBuilder - Ladrillos térmico para construcción profesional,m³,640.14,Cerámica,Baja,Media,Alto,Sí,True,640.14,Sí,EUR
187,Impermeabilizantes,BuildMaster Impermeabilizantes,BuildMaster,BuildMaster - Impermeabilizantes alta calidad para construcción profesional,litro,104.47,Parquet,Alta,Media,Bajo,Sí,True,104.47,No,EUR
188,Cable eléctrico,MasterBuild Cable eléctrico,MasterBuild,MasterBuild - Cable eléctrico durable para construcción profesional,metro lineal,615.38,Laminado,Alta,Fácil,Bajo,Sí,True,615.38,No,EUR
189,Varillas,BuildMaster Varillas,BuildMaster,BuildMaster - Varillas resistente para construcción profesional,rollo,29.13,Parquet,Alta,Media,Bajo,No,True,29.13,No,EUR
190,Ladrillos,MaxiMaterials Ladrillos,MaxiMaterials,MaxiMaterials - Ladrillos macizo para construcción profesional,saco,887.07,Cerámica,Media,Compleja,Bajo,No,True,443.54,No,EUR
191,Selladores,HomeBuilder Selladores,HomeBuilder,HomeBuilder - Selladores resistente para construcción profesional,rollo,256.61,Vinilo,Alta,Media,Medio,Sí,True,256.61,Sí,EUR
192,Impermeabilizantes,MasterBuild Impermeabilizantes,MasterBuild,MasterBuild - Impermeabilizantes uso profesional para construcción profesional,m³,522.61,Parquet,Baja,Media,Bajo,No,True,522.61,Sí,EUR
193,Azulejos,Construmax Azulejos,Construmax,Construmax - Azulejos uso profesional para construcción profesional,kg,812.39,Cerámica,Baja,Media,Bajo,No,True,16247.8,No,EUR
194,Clavos,HomeQuality Clavos,HomeQuality,HomeQuality - Clavos durable para construcción profesional,m²,37.34,Parquet,Alta,Media,Bajo,No,True,37.34,No,EUR
195,Impermeabilizantes,HomeBuilder Impermeabilizantes,HomeBuilder,HomeBuilder - Impermeabilizantes resistente para construcción profesional,m²,609.05,Mármol,Media,Compleja,Medio,Sí,True,609.05,No,EUR
196,Ladrillos,EliteTools Ladrillos,EliteTools,EliteTools - Ladrillos macizo para construcción profesional,litro,762.89,Laminado,Alta,Media,Bajo,No,True,762.89,Sí,EUR
197,Ladrillos,MasterBuild Ladrillos,MasterBuild,MasterBuild - Ladrillos refractario para construcción profesional,kg,237.17,Mármol,Baja,Compleja,Bajo,Sí,True,4743.4,Sí,EUR
198,Clavos,BuildPro Clavos,BuildPro,BuildPro - Clavos uso profesional para construcción profesional,unidad,757.91,Vinilo,Media,Fácil,Bajo,No,True,757.91,Sí,EUR
199,Azulejos,BuildMaster Azulejos,BuildMaster,BuildMaster - Azulejos uso profesional para construcción profesional,rollo,114.97,Cerámica,Baja,Media,Alto,Sí,True,114.97,No,EUR
200,Madera,BuildPro Madera,BuildPro,BuildPro - Madera durable para construcción profesional,litro,499.57,Cerámica,Alta,Compleja,Alto,No,True,499.57,Sí,EUR
201,Arena,HomeBuilder Arena,HomeBuilder,HomeBuilder - Arena lavada para construcción profesional,saco (25 kg),2.5,Vinilo,Alta,Compleja,Alto,No,True,5.0,No,EUR
202,Madera,MaxiMaterials Madera,MaxiMaterials,MaxiMaterials - Madera durable para construcción profesional,kg,143.37,Cerámica,Media,Fácil,Bajo,Sí,True,2867.4,No,EUR
203,Pintura,BuildMaster Pintura,BuildMaster,BuildMaster - Pintura uso profesional para construcción profesional,unidad,998.84,Piedra Natural,Alta,Fácil,Alto,No,True,998.84,No,EUR
204,Ladrillos,ConstructTech Ladrillos,ConstructTech,ConstructTech - Ladrillos cara vista para construcción profesional,m²,545.27,Vinilo,Baja,Compleja,Alto,Sí,True,545.27,Sí,EUR
205,Cable eléctrico,MasterBuild Cable eléctrico,MasterBuild,MasterBuild - Cable eléctrico durable para construcción profesional,m²,979.48,Vinilo,Alta,Fácil,Alto,Sí,True,979.48,No,EUR
206,Pintura,MasterBuild Pintura,MasterBuild,MasterBuild - Pintura resistente para construcción profesional,litro,47.1,Cerámica,Baja,Media,Alto,No,True,47.1,Sí,EUR
207,Pintura,EliteTools Pintura,EliteTools,EliteTools - Pintura uso profesional para construcción profesional,unidad,724.89,Piedra Natural,Baja,Compleja,Medio,No,True,724.89,Sí,EUR
208,Impermeabilizantes,Construmax Impermeabilizantes,Construmax,Construmax - Impermeabilizantes uso profesional para construcción profesional,kg,958.61,Parquet,Baja,Compleja,Bajo,No,True,19172.2,No,EUR
209,Madera,MaxiMaterials Madera,MaxiMaterials,MaxiMaterials - Madera resistente para construcción profesional,metro lineal,38.98,Vinilo,Alta,Media,Bajo,No,True,38.98,No,EUR
210,Madera,ProConstruct Madera,ProConstruct,ProConstruct - Madera durable para construcción profesional,litro,699.77,Laminado,Media,Compleja,Bajo,No,True,699.77,No,EUR
211,Impermeabilizantes,BuildPro Impermeabilizantes,BuildPro,BuildPro - Impermeabilizantes alta calidad para construcción profesional,m²,751.84,Piedra Natural,Alta,Compleja,Medio,No,True,751.84,No,EUR
212,Tornillos,BuildPro Tornillos,BuildPro,BuildPro - Tornillos uso profesional para construcción profesional,m²,507.31,Vinilo,Alta,Fácil,Alto,No,True,507.31,Sí,EUR
213,Madera,ConstructTech Madera,ConstructTech,ConstructTech - Madera resistente para construcción profesional,m²,697.88,Cerámica,Media,Media,Bajo,No,True,697.88,No,EUR
214,Clavos,ProConstruct Clavos,ProConstruct,ProConstruct - Clavos durable para construcción profesional,litro,549.72,Piedra Natural,Baja,Media,Alto,No,True,549.72,Sí,EUR
215,Azulejos,MaxiMaterials Azulejos,MaxiMaterials,MaxiMaterials - Azulejos uso profesional para construcción profesional,metro lineal,392.19,Cerámica,Baja,Compleja,Alto,Sí,True,392.19,No,EUR
216,Pintura,ConstructTech Pintura,ConstructTech,ConstructTech - Pintura uso profesional para construcción profesional,saco,261.14,Piedra Natural,Alta,Compleja,Bajo,No,True,130.57,No,EUR
217,Madera,MaxiMaterials Madera,MaxiMaterials,MaxiMaterials - Madera uso profesional para construcción profesional,metro lineal,864.39,Cerámica,Media,Media,Bajo,No,True,864.39,No,EUR
218,Impermeabilizantes,BuildPro Impermeabilizantes,BuildPro,BuildPro - Impermeabilizantes uso profesional para construcción profesional,m³,160.55,Vinilo,Baja,Media,Bajo,No,True,160.55,No,EUR
219,Clavos,ConstructTech Clavos,ConstructTech,ConstructTech - Clavos durable para construcción profesional,kg,73.05,Vinilo,Media,Fácil,Alto,No,True,1461.0,No,EUR
220,Impermeabilizantes,MaxiMaterials Impermeabilizantes,MaxiMaterials,MaxiMaterials - Impermeabilizantes uso profesional para construcción profesional,saco,248.65,Vinilo,Alta,Media,Alto,No,True,124.32,No,EUR
221,Tornillos,EliteTools Tornillos,EliteTools,EliteTools - Tornillos durable para construcción profesional,metro lineal,789.68,Mármol,Media,Media,Bajo,Sí,True,789.68,Sí,EUR
222,Madera,HomeQuality Madera,HomeQuality,HomeQuality - Madera alta calidad para construcción profesional,unidad,441.88,Mármol,Alta,Compleja,Bajo,No,True,441.88,Sí,EUR
223,Madera,BuildPro Madera,BuildPro,BuildPro - Madera uso profesional para construcción profesional,metro lineal,546.68,Parquet,Alta,Fácil,Medio,Sí,True,546.68,No,EUR
224,Tubería,Construmax Tubería,Construmax,Construmax - Tubería uso profesional para construcción profesional,metro lineal,228.06,Vinilo,Alta,Compleja,Medio,No,True,228.06,No,EUR
225,Impermeabilizantes,BuildPro Impermeabilizantes,BuildPro,BuildPro - Impermeabilizantes alta calidad para construcción profesional,saco,223.53,Cerámica,Alta,Compleja,Bajo,Sí,True,111.76,Sí,EUR
226,Varillas,Construmax Varillas,Construmax,Construmax - Varillas durable para construcción profesional,m²,956.23,Mármol,Media,Fácil,Bajo,No,True,956.23,No,EUR
227,Bloques,HomeQuality Bloques,HomeQuality,HomeQuality - Bloques estructural para construcción profesional,m²,171.15,Mármol,Baja,Fácil,Bajo,Sí,True,171.15,No,EUR
228,Selladores,ConstructTech Selladores,ConstructTech,ConstructTech - Selladores durable para construcción profesional,litro,864.24,Piedra Natural,Alta,Fácil,Medio,No,True,864.24,No,EUR
229,Bloques,HomeQuality Bloques,HomeQuality,HomeQuality - Bloques ligero para construcción profesional,m³,934.17,Cerámica,Baja,Fácil,Alto,Sí,True,934.17,No,EUR
230,Azulejos,HomeQuality Azulejos,HomeQuality,HomeQuality - Azulejos alta calidad para construcción profesional,unidad,910.23,Piedra Natural,Alta,Fácil,Medio,Sí,True,910.23,Sí,EUR
231,Grava,HomeBuilder Grava,HomeBuilder,HomeBuilder - Grava triturada para construcción profesional,saco (25 kg),2.8,Piedra Natural,Baja,Fácil,Medio,No,True,5.6,No,EUR
232,Impermeabilizantes,HomeBuilder Impermeabilizantes,HomeBuilder,HomeBuilder - Impermeabilizantes durable para construcción profesional,m³,154.69,Mármol,Media,Compleja,Bajo,No,True,154.69,No,EUR
233,Arena,MasterBuild Arena,MasterBuild,MasterBuild - Arena lavada para construcción profesional,saco (25 kg),2.5,Vinilo,Media,Media,Bajo,No,True,5.0,Sí,EUR
234,Madera,HomeQuality Madera,HomeQuality,HomeQuality - Madera durable para construcción profesional,unidad,17.21,Laminado,Alta,Media,Medio,Sí,True,17.21,No,EUR
235,Tornillos,HomeQuality Tornillos,HomeQuality,HomeQuality - Tornillos resistente para construcción profesional,saco,713.78,Cerámica,Alta,Fácil,Alto,No,True,356.89,No,EUR
236,Cemento,MasterBuild Cemento,MasterBuild,MasterBuild - Cemento para interiores para construcción profesional,saco (25 kg),4.5,Cerámica,Baja,Media,Alto,Sí,True,9.0,Sí,EUR
237,Arena,BuildPro Arena,BuildPro,BuildPro - Arena gruesa para construcción profesional,saco (25 kg),2.5,Parquet,Alta,Compleja,Alto,No,True,5.0,No,EUR
238,Pintura,EliteTools Pintura,EliteTools,EliteTools - Pintura uso profesional para construcción profesional,metro lineal,794.81,Mármol,Media,Fácil,Alto,No,True,794.81,No,EUR
239,Selladores,Construmax Selladores,Construmax,Construmax - Selladores durable para construcción profesional,litro,903.9,Cerámica,Alta,Media,Medio,No,True,903.9,No,EUR
240,Cemento,EliteTools Cemento,EliteTools,EliteTools - Cemento uso general para construcción profesional,saco (25 kg),4.5,Laminado,Media,Compleja,Alto,Sí,True,9.0,Sí,EUR
241,Cable eléctrico,HomeQuality Cable eléctrico,HomeQuality,HomeQuality - Cable eléctrico uso profesional para construcción profesional,m²,576.49,Parquet,Media,Media,Alto,Sí,True,576.49,No,EUR
242,Grava,EliteTools Grava,EliteTools,"EliteTools - Grava 1/2"" para construcción profesional",saco (25 kg),2.8,Laminado,Alta,Compleja,Alto,No,True,5.6,Sí,EUR
243,Tubería,MaxiMaterials Tubería,MaxiMaterials,MaxiMaterials - Tubería durable para construcción profesional,rollo,876.06,Cerámica,Alta,Compleja,Alto,Sí,True,876.06,Sí,EUR
244,Pintura,HomeQuality Pintura,HomeQuality,HomeQuality - Pintura alta calidad para construcción profesional,m³,725.6,Mármol,Media,Compleja,Bajo,No,True,725.6,Sí,EUR
245,Pintura,HomeBuilder Pintura,HomeBuilder,HomeBuilder - Pintura resistente para construcción profesional,unidad,106.49,Parquet,Alta,Media,Bajo,No,True,106.49,Sí,EUR
246,Tornillos,MasterBuild Tornillos,MasterBuild,MasterBuild - Tornillos resistente para construcción profesional,unidad,79.11,Laminado,Alta,Media,Alto,No,True,79.11,Sí,EUR
247,Tubería,MaxiMaterials Tubería,MaxiMaterials,MaxiMaterials - Tubería alta calidad para construcción profesional,unidad,509.23,Vinilo,Alta,Media,Bajo,Sí,True,509.23,Sí,EUR
248,Clavos,EliteTools Clavos,EliteTools,EliteTools - Clavos alta calidad para construcción profesional,rollo,579.01,Mármol,Media,Fácil,Bajo,No,True,579.01,Sí,EUR
249,Cable eléctrico,HomeBuilder Cable eléctrico,HomeBuilder,HomeBuilder - Cable eléctrico alta calidad para construcción profesional,m³,223.1,Parquet,Media,Compleja,Alto,Sí,True,223.1,Sí,EUR
250,Azulejos,EliteTools Azulejos,EliteTools,EliteTools - Azulejos uso profesional para construcción profesional,kg,759.22,Cerámica,Alta,Media,Medio,Sí,True,15184.4,No,EUR
251,Varillas,MasterBuild Varillas,MasterBuild,MasterBuild - Varillas alta calidad para construcción profesional,litro,445.93,Parquet,Media,Fácil,Medio,No,True,445.93,No,EUR
252,Pintura,BuildPro Pintura,BuildPro,BuildPro - Pintura durable para construcción profesional,m²,635.95,Cerámica,Baja,Media,Bajo,No,True,635.95,No,EUR
253,Cable eléctrico,ConstructTech Cable eléctrico,ConstructTech,ConstructTech - Cable eléctrico resistente para construcción profesional,rollo,831.55,Laminado,Baja,Media,Alto,No,True,831.55,No,EUR
254,Cemento,EliteTools Cemento,EliteTools,EliteTools - Cemento para exteriores para construcción profesional,saco (25 kg),4.5,Mármol,Alta,Fácil,Alto,No,True,9.0,No,EUR
255,Cable eléctrico,BuildMaster Cable eléctrico,BuildMaster,BuildMaster - Cable eléctrico alta calidad para construcción profesional,m²,497.94,Parquet,Media,Media,Medio,No,True,497.94,Sí,EUR
256,Tornillos,EliteTools Tornillos,EliteTools,EliteTools - Tornillos durable para construcción profesional,metro lineal,556.71,Cerámica,Alta,Fácil,Medio,No,True,556.71,Sí,EUR
257,Madera,MasterBuild Madera,MasterBuild,MasterBuild - Madera resistente para construcción profesional,saco,21.79,Vinilo,Alta,Compleja,Bajo,No,True,10.9,Sí,EUR
258,Bloques,EliteTools Bloques,EliteTools,EliteTools - Bloques divisorio para construcción profesional,litro,225.86,Mármol,Baja,Compleja,Alto,No,True,225.86,Sí,EUR
259,Impermeabilizantes,HomeQuality Impermeabilizantes,HomeQuality,HomeQuality - Impermeabilizantes alta calidad para construcción profesional,saco,193.89,Laminado,Baja,Compleja,Bajo,No,True,96.94,Sí,EUR
260,Cemento,EliteTools Cemento,EliteTools,EliteTools - Cemento para exteriores para construcción profesional,saco (25 kg),4.5,Mármol,Alta,Compleja,Medio,No,True,9.0,Sí,EUR
261,Arena,HomeBuilder Arena,HomeBuilder,HomeBuilder - Arena para mortero para construcción profesional,saco (25 kg),2.5,Cerámica,Media,Fácil,Medio,No,True,5.0,Sí,EUR
262,Grava,Construmax Grava,Construmax,Construmax - Grava triturada para construcción profesional,saco (25 kg),2.8,Cerámica,Alta,Compleja,Bajo,No,True,5.6,No,EUR
263,Ladrillos,BuildPro Ladrillos,BuildPro,BuildPro - Ladrillos macizo para construcción profesional,unidad,869.23,Cerámica,Baja,Compleja,Medio,Sí,True,869.23,Sí,EUR
264,Tornillos,BuildPro Tornillos,BuildPro,BuildPro - Tornillos alta calidad para construcción profesional,m²,777.97,Cerámica,Media,Fácil,Bajo,Sí,True,777.97,Sí,EUR
265,Arena,HomeBuilder Arena,HomeBuilder,HomeBuilder - Arena fina para construcción profesional,saco (25 kg),2.5,Vinilo,Alta,Media,Alto,No,True,5.0,No,EUR
266,Madera,ProConstruct Madera,ProConstruct,ProConstruct - Madera durable para construcción profesional,litro,623.33,Mármol,Media,Compleja,Bajo,No,True,623.33,Sí,EUR
267,Ladrillos,EliteTools Ladrillos,EliteTools,EliteTools - Ladrillos macizo para construcción profesional,unidad,252.11,Laminado,Baja,Compleja,Alto,No,True,252.11,No,EUR
268,Clavos,HomeQuality Clavos,HomeQuality,HomeQuality - Clavos durable para construcción profesional,metro lineal,236.27,Laminado,Alta,Media,Medio,Sí,True,236.27,Sí,EUR
269,Cemento,Construmax Cemento,Construmax,Construmax - Cemento uso general para construcción profesional,saco (25 kg),4.5,Cerámica,Baja,Media,Medio,Sí,True,9.0,No,EUR
270,Bloques,Construmax Bloques,Construmax,Construmax - Bloques divisorio para construcción profesional,rollo,70.29,Mármol,Baja,Compleja,Medio,Sí,True,70.29,Sí,EUR
271,Ladrillos,ConstructTech Ladrillos,ConstructTech,ConstructTech - Ladrillos macizo para construcción profesional,unidad,680.08,Vinilo,Media,Compleja,Bajo,No,True,680.08,No,EUR
272,Cemento,ConstructTech Cemento,ConstructTech,ConstructTech - Cemento secado rápido para construcción profesional,saco (25 kg),4.5,Laminado,Media,Compleja,Bajo,No,True,9.0,No,EUR
273,Grava,EliteTools Grava,EliteTools,EliteTools - Grava triturada para construcción profesional,saco (25 kg),2.8,Cerámica,Media,Media,Medio,Sí,True,5.6,No,EUR
274,Pintura,EliteTools Pintura,EliteTools,EliteTools - Pintura durable para construcción profesional,saco,756.68,Vinilo,Alta,Fácil,Alto,No,True,378.34,No,EUR
275,Bloques,BuildPro Bloques,BuildPro,BuildPro - Bloques estructural para construcción profesional,metro lineal,498.36,Parquet,Baja,Compleja,Bajo,No,True,498.36,Sí,EUR
276,Cable eléctrico,ProConstruct Cable eléctrico,ProConstruct,ProConstruct - Cable eléctrico durable para construcción profesional,unidad,294.06,Mármol,Alta,Fácil,Medio,No,True,294.06,No,EUR
277,Tornillos,MasterBuild Tornillos,MasterBuild,MasterBuild - Tornillos durable para construcción profesional,unidad,328.21,Mármol,Baja,Media,Medio,Sí,True,328.21,No,EUR
278,Tubería,MasterBuild Tubería,MasterBuild,MasterBuild - Tubería resistente para construcción profesional,m³,728.77,Piedra Natural,Media,Compleja,Medio,Sí,True,728.77,No,EUR
279,Cemento,ProConstruct Cemento,ProConstruct,ProConstruct - Cemento secado rápido para construcción profesional,saco (25 kg),4.5,Parquet,Baja,Media,Alto,No,True,9.0,Sí,EUR
280,Varillas,ConstructTech Varillas,ConstructTech,ConstructTech - Varillas alta calidad para construcción profesional,saco,205.83,Vinilo,Alta,Fácil,Medio,Sí,True,102.92,Sí,EUR
281,Tornillos,MaxiMaterials Tornillos,MaxiMaterials,MaxiMaterials - Tornillos alta calidad para construcción profesional,saco,725.79,Piedra Natural,Media,Compleja,Medio,No,True,362.9,Sí,EUR
282,Varillas,ProConstruct Varillas,ProConstruct,ProConstruct - Varillas resistente para construcción profesional,saco,100.86,Cerámica,Alta,Compleja,Medio,Sí,True,50.43,No,EUR
283,Pintura,MasterBuild Pintura,MasterBuild,MasterBuild - Pintura alta calidad para construcción profesional,saco,537.28,Parquet,Media,Fácil,Bajo,Sí,True,268.64,Sí,EUR
284,Tornillos,ConstructTech Tornillos,ConstructTech,ConstructTech - Tornillos durable para construcción profesional,rollo,280.62,Laminado,Alta,Compleja,Bajo,Sí,True,280.62,Sí,EUR
285,Bloques,MasterBuild Bloques,MasterBuild,MasterBuild - Bloques divisorio para construcción profesional,m²,299.68,Laminado,Media,Fácil,Alto,No,True,299.68,Sí,EUR
286,Tubería,ConstructTech Tubería,ConstructTech,ConstructTech - Tubería uso profesional para construcción profesional,rollo,328.43,Vinilo,Media,Fácil,Medio,Sí,True,328.43,Sí,EUR
287,Selladores,BuildMaster Selladores,BuildMaster,BuildMaster - Selladores alta calidad para construcción profesional,saco,281.51,Parquet,Alta,Media,Alto,No,True,140.76,No,EUR
288,Pintura,MaxiMaterials Pintura,MaxiMaterials,MaxiMaterials - Pintura durable para construcción profesional,m³,34.54,Mármol,Media,Compleja,Medio,Sí,True,34.54,No,EUR
289,Pintura,ConstructTech Pintura,ConstructTech,ConstructTech - Pintura alta calidad para construcción profesional,saco,369.86,Mármol,Alta,Compleja,Alto,No,True,184.93,Sí,EUR
290,Azulejos,ConstructTech Azulejos,ConstructTech,ConstructTech - Azulejos uso profesional para construcción profesional,rollo,68.84,Parquet,Alta,Fácil,Medio,Sí,True,68.84,Sí,EUR
291,Cemento,ProConstruct Cemento,ProConstruct,ProConstruct - Cemento para exteriores para construcción profesional,saco (25 kg),4.5,Mármol,Alta,Media,Bajo,Sí,True,9.0,No,EUR
292,Azulejos,BuildMaster Azulejos,BuildMaster,BuildMaster - Azulejos durable para construcción profesional,metro lineal,26.44,Parquet,Alta,Fácil,Alto,Sí,True,26.44,No,EUR
293,Arena,ConstructTech Arena,ConstructTech,ConstructTech - Arena para mortero para construcción profesional,saco (25 kg),2.5,Laminado,Baja,Compleja,Medio,Sí,True,5.0,No,EUR
294,Cable eléctrico,Construmax Cable eléctrico,Construmax,Construmax - Cable eléctrico resistente para construcción profesional,m³,765.26,Vinilo,Baja,Media,Alto,No,True,765.26,No,EUR
295,Selladores,BuildMaster Selladores,BuildMaster,BuildMaster - Selladores uso profesional para construcción profesional,m²,860.81,Cerámica,Alta,Fácil,Alto,No,True,860.81,Sí,EUR
296,Impermeabilizantes,MaxiMaterials Impermeabilizantes,MaxiMaterials,MaxiMaterials - Impermeabilizantes alta calidad para construcción profesional,saco,479.55,Piedra Natural,Baja,Fácil,Alto,Sí,True,239.78,Sí,EUR
297,Selladores,MasterBuild Selladores,MasterBuild,MasterBuild - Selladores uso profesional para construcción profesional,kg,500.75,Laminado,Alta,Compleja,Bajo,No,True,10015.0,Sí,EUR
298,Grava,ConstructTech Grava,ConstructTech,"ConstructTech - Grava 3/4"" para construcción profesional",saco (25 kg),2.8,Laminado,Alta,Media,Alto,Sí,True,5.6,Sí,EUR
